Mine,Latitude,Longitude,Blue_B02,Green_B03,Red_B04,NIR_B08,SWIR1_B11,SWIR2_B12,NDVI,Distance_to_Manganese_km,Manganese_Presence,Lithology,GLiM_ID,Elevation_mean_m,Elevation_min_m,Elevation_max_m,Slope_mean_degrees,Slope_min_degrees,Slope_max_degrees,LST_mean_C,LST_min_C,LST_max_C
Chikla,21.551214531443847,79.72939013464729,0.1428,0.1639,0.1503,0.3599,0.2998,0.1992,0.41081926,3.009429417266148,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Chikla,21.558032402946893,79.77124054708604,0.1865,0.2066,0.229,0.3658,0.3929,0.2896,0.22999327,7.392593898042483,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Balaghat,21.87489476953334,80.20871927506415,0.2126,0.2498,0.2926,0.3929,0.4983,0.4333,0.14631653,0.0475051149169633,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Kandri,21.401015656020974,79.25979933074325,0.1843,0.2106,0.2056,0.3733,0.331,0.2691,0.28968734,0.1771980412823917,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Balaghat,21.87398300910297,80.20698212397222,0.2196,0.2622,0.3128,0.4176,0.5021,0.4427,0.14348306,0.1823945950343662,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Ukwa,21.965782245257504,80.48192003112436,0.149,0.1653,0.1944,0.3338,0.3817,0.3066,0.26391518,0.1835499766214014,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Kandri,21.408409942062026,79.27610862766103,0.161,0.1752,0.1863,0.3689,0.3048,0.2219,0.3288905,0.4567942273914288,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Kandri,21.40679624413406,79.27728497352065,0.1616,0.183,0.1978,0.3491,0.3929,0.2805,0.27665022,0.4386276580260601,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Dongri_Buzurg,21.539148723154447,79.66499818216086,0.1416,0.1586,0.1419,0.401,0.2545,0.1689,0.4772518,3.833193373862461,0,Metamorphics,IND2480,334.0665,270.8272,418.0179,3.693927,0.0,42.639668,32.160763,30.868849,32.82424
Ukwa,21.96415974535233,80.48308814386175,0.1481,0.1614,0.199,0.2605,0.3763,0.3469,0.13384116,0.2268804415186591,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
